Timestamp,Buffer._avg (B),Cache._avg (B),Share._avg (B),Swap._avg (B),Total._avg (B),Use._avg (B)
1461736500,0,0,0,0,0,0
1461736507,28814912,1847013056,0,6892438016,7271528448,6577766784
1461736537,28930496,2221408896,0,6892578560,7271528448,7094392192
1461736567,29031424,2865602496,0,6892842752,7271528448,6839281856
1461736597,27801600,2358910976,0,6894938112,7271528448,7219294208
1461736627,22075648,2339921280,0,6894553856,7271528448,7223075392
1461736657,21956224,2802417472,0,6896036544,7271528448,6678798208
1461736687,21658368,2486797696,0,6895049088,7271528448,7192313536
1461736717,19927040,2330200064,0,6893807616,7271528448,7216631808
1461736747,18057472,2803659264,0,6893517312,7271528448,6716630144
1461736777,15763776,2436365888,0,6893003840,7271528448,7196111488
1461736807,15657600,2318731456,0,6892304704,7271528448,7215672576
1461736837,15933440,2908653568,0,6890930176,7271528448,6911426560
1461736867,15561280,2376627328,0,6889147776,7271528448,7217928832
1461736897,15542848,2328509888,0,6889156224,7271528448,6677277504
1461736927,15693184,2741282432,0,6889032128,7271528448,6743770368
1461736957,14856192,2187802624,0,6887743488,7271528448,7224334336
1461736987,15335168,2289231424,0,6888380288,7271528448,6289107712
1461737017,16056192,2907310720,0,6888689920,7271528448,7058970176
1461737047,16117248,2237932096,0,6886933056,7271528448,7221462720
1461737077,15919104,2362533888,0,6886109184,7271528448,6154362880
1461737107,16188096,2637083776,0,6885278784,7271528448,6964058688
1461737137,14959040,2193516864,0,6883443520,7271528448,7194975488
1461737167,15109504,2561216512,0,6884122496,7271528448,6394120960
1461737197,14090240,2296969216,0,6880784384,7271528448,7218096128
1461737227,14342144,2102957504,0,6879738560,7271528448,7220568064
1461737257,14760832,2584064320,0,6880473600,7271528448,6426951488
1461737287,14795584,2397755456,0,6878764800,7271528448,7168393856
1461737317,14059520,1950593024,0,6874712064,7271528448,7153393664
1461737347,14679360,2520907584,0,6875365440,7271528448,6374592448
1461737377,14430848,2354964992,0,6873079296,7271528448,7181245184
1461737407,14317312,2045489664,0,6873039872,7271528448,6508682752
1461737437,14456832,2645362688,0,6873688064,7271528448,6698065920
1461737467,13815616,2233645632,0,6872572032,7271528448,7207352320
1461737497,13927232,2010095744,0,6872859520,7271528448,6479744768
1461737527,14333056,2737513280,0,6873317056,7271528448,6727476160
1461737557,14524416,2162964480,0,6855163904,7271528448,7214759936
1461737587,14887872,1899784256,0,6855230080,7271528448,6418704896
1461737617,14989312,2590309312,0,6855569472,7271528448,6567353536
1461737647,14603264,2229938368,0,6851459968,7271528448,7200539328
1461737677,14790656,2151821312,0,6853513216,7271528448,5953122304
1461737707,14907968,2540043264,0,6851191232,7271528448,6752822080
1461737737,14520832,2174784960,0,6846013248,7271528448,7206394240
1461737767,14901120,2303027520,0,6845398592,7271528448,6263478208
1461737797,15730688,2801838080,0,6848108544,7271528448,6795708416
1461737827,9126976,2230498176,0,6847628160,7271528448,7211168704
1461737857,6454592,2028639872,0,6847405632,7271528448,6767451200
1461737887,6751360,2738016320,0,6846662848,7271528448,6652132224
1461737917,6727680,2052694016,0,6837651456,7271528448,7106086912
1461737947,6522816,2146992704,0,6836562944,7271528448,6225474496
1461737977,6238720,2604938752,0,6827538560,7271528448,6808540352
1461738007,5547456,2163553152,0,6824872768,7271528448,7215928960
1461738037,4702208,2094077952,0,6828058624,7271528448,5854763008
1461738067,5066240,2689114688,0,6827792128,7271528448,6762176512
1461738097,4881984,2172885952,0,6824042496,7271528448,7211468160
1461738127,4651648,2144915712,0,6823197824,7271528448,6243387904
1461738157,5013504,2710278144,0,6823088128,7271528448,7068459008
1461738187,4492736,2101938752,0,6823355008,7271528448,7200245504
1461738217,4783616,2120232256,0,6824562880,7271528448,6074573184
1461738247,4830272,2635729728,0,6824890624,7271528448,7020378048
1461738277,4868096,1996265472,0,6822031360,7271528448,7221841920
1461738307,4919040,2398760576,0,6823261824,7271528448,6286992640
1461738337,4647040,2313214528,0,6822422272,7271528448,7060637312
1461738367,4495232,1982719040,0,6821403840,7271528448,7214356416
1461738397,4886528,2312628224,0,6823641088,7271528448,6101069824
1461738427,5362944,2483188480,0,6824364352,7271528448,6862611968
1461738457,5540160,2015314816,0,6826322432,7271528448,7215568448
1461738487,7059520,2395098624,0,6830333696,7271528448,6336975296
1461738517,7538688,2239879168,0,6830727168,7271528448,7217084416
1461738547,7095104,1951058432,0,6827801536,7271528448,7219546944
1461738577,7476352,2157511104,0,6827702272,7271528448,6149755712
1461738607,6948800,2494420096,0,6827012864,7271528448,6914007680
1461738637,4584448,1932300288,0,6820143104,7271528448,7220105216
1461738667,4968960,2225828224,0,6820726080,7271528448,6134751872
1461738697,5292032,2507518528,0,6821062528,7271528448,6913713088
1461738727,5104256,1975476416,0,6817754752,7271528448,7219779328
1461738757,5366784,2292669440,0,6818318336,7271528448,6088478720
1461738787,5276096,2309493440,0,6810446528,7271528448,6926272704
1461738817,4330816,1929643392,0,6807904768,7271528448,7215150528
1461738847,4436352,2354633728,0,6808150080,7271528448,6203806528
1461738877,4500480,2218021888,0,6807869440,7271528448,6808167424
1461738907,3627328,1992077312,0,6802882496,7271528448,7208694208
1461738937,4368000,2080534336,0,6802777024,7271528448,6014321792
1461738967,4605376,2736584704,0,6803927360,7271528448,6919218880
1461738997,4709376,2085997568,0,6801872896,7271528448,7209447424
1461739027,5242176,2066826816,0,6800219456,7271528448,6222281280
1461739057,5602304,2469033792,0,6795180800,7271528448,6849093824
1461739087,4882240,1977685312,0,6786937344,7271528448,7153793344
1461739117,6231040,1891475456,0,6785054720,7271528448,5649753088
1461739147,6314240,2519483008,0,6784708544,7271528448,6635727296
1461739177,5715584,2060925888,0,6770349376,7271528448,7210110848
1461739207,5755776,2048464896,0,6768607424,7271528448,6160578048
1461739237,5874688,2594259968,0,6768879616,7271528448,6933072896
1461739267,4860160,2044861504,0,6763332224,7271528448,7205150080
1461739297,4979456,2151949632,0,6762765696,7271528448,5997188160
1461739327,5905792,2785280768,0,6765549376,7271528448,6908156224
1461739357,5679104,2028441600,0,6759014400,7271528448,7182978048
1461739387,5184320,1985388032,0,6757298176,7271528448,6097226112
1461739417,5457600,2654665472,0,6757418880,7271528448,6689891648
1461739447,4432832,2041333184,0,6756689856,7271528448,7182985984
1461739477,4773888,1840103424,0,6757238784,7271528448,5872144384
1461739507,5076736,2476863808,0,6757463104,7271528448,6391523008
1461739537,4210624,2060432256,0,6754201216,7271528448,7179446656
1461739567,4663296,1978556800,0,6747007104,7271528448,6303015488
