Timestamp,In._avg (B),Out._avg (B)
1461736500,0,0
1461736507,640735.8002806762,638594.3942292201
1461736537,2578.2556481528572,2568.5504962350674
1461736567,21230013.4769772,19507958.996123485
1461736597,2559.1455200112564,2454.375042299168
1461736627,1176.91357640781,1167.600243024763
1461736657,8815872.496236995,8614574.51781888
1461736687,1276088.833755072,1272862.5834528406
1461736717,2445.440914384006,2454.199345997751
1461736747,10478594.670725752,7013132.862942071
1461736777,1058106.66984643,1221039.1941985495
1461736807,913.6660258355892,922.5207178400482
1461736837,26646819.32503704,21715557.825412005
1461736867,440158.5444874643,591508.0781053379
1461736897,6680924.591173518,10289257.052841399
1461736927,12939598.778416747,12243043.274407998
1461736957,2817.8563037500935,2454.7477812406005
1461736987,16082652.243270075,14960976.203194939
1461737017,8877172.982445925,9815145.91018333
1461737047,2667.684874936744,2673.469588751289
1461737077,15770296.42312773,7378324.543977142
1461737107,5968191.514688027,5961557.092086181
1461737137,3788112.2074594432,5550784.018181841
1461737167,4200558.834999528,4096299.312873041
1461737197,2882.4598383227567,5719.263615846572
1461737227,1074.710943363807,1078.6082199773214
1461737257,16846506.80441334,14313331.952773985
1461737287,641695.8538824295,856900.5378856023
1461737317,13273762.323552513,8902582.770108787
1461737347,1815191.202021129,1613345.6743242035
1461737377,639531.609210922,638317.6881025395
1461737407,2404.2163207756826,2523.4708919562536
1461737437,20334588.446385115,20286081.144461755
1461737467,1433.9039759030816,1655.596277904414
1461737497,4542.50426887668,4074.7278957694243
1461737527,24109363.866653558,23649837.868406095
1461737557,4832.12840820621,2586.4539585130988
1461737587,3294.9488660315833,3191.4621859171775
1461737617,7757018.108702473,9187345.418077175
1461737647,1979.2758109419694,2003.9147576791897
1461737677,20089163.02354128,8498129.041014172
1461737707,14777787.543730916,16542812.9907965
1461737737,5392.1346953911325,5277.112394797236
1461737767,7828690.159885317,12756732.449068654
1461737797,11515724.529767206,401735.4995509306
1461737827,277445.8660080099,624124.3042223481
1461737857,5056.719531802541,5016.450969988835
1461737887,20041414.633621566,13626719.676253475
