Timestamp,Total Allocatable CPU Utilized across NodeManager (%)
1461736415,0
1461736475,0
1461736535,25
1461736595,8.333333333333332
1461736655,25
1461736715,25
1461736775,8.333333333333332
1461736835,25
1461736895,25
1461736955,25
1461737015,0
1461737075,25
1461737135,33.33333333333333
1461737195,0
1461737255,25
1461737315,25
1461737375,0
1461737435,0
1461737495,25
1461737555,16.666666666666664
1461737615,0
1461737675,25
1461737735,33.33333333333333
1461737795,0
1461737855,25
1461737915,8.333333333333332
1461737975,0
1461738035,25
1461738095,33.33333333333333
1461738155,0
1461738215,25
1461738275,33.33333333333333
1461738335,0
1461738395,25
1461738455,33.33333333333333
1461738515,0
1461738575,25
1461738635,25
1461738695,0
1461738755,25
1461738815,25
1461738875,0
1461738935,25
1461738995,25
1461739055,0
1461739115,25
1461739175,33.33333333333333
1461739235,0
1461739295,25
1461739355,25
1461739415,0
1461739475,25
1461739535,8.333333333333332
1461739595,0
1461739655,25
1461739715,8.333333333333332
1461739775,0
1461739835,25
1461739895,0
1461739955,25
1461740015,25
1461740075,0
1461740135,25
1461740195,33.33333333333333
1461740255,0
1461740315,25
1461740375,0
1461740435,25
1461740495,8.333333333333332
1461740555,25
1461740615,25
1461740675,0
1461740735,25
1461740795,33.33333333333333
1461740855,0
1461740915,25
1461740975,0
1461741035,25
1461741095,25
1461741155,0
1461741215,25
1461741275,33.33333333333333
1461741335,0
1461741395,25
1461741455,25
1461741515,25
1461741575,25
1461741635,0
1461741695,25
1461741755,25
1461741815,0
1461741875,25
1461741935,16.666666666666664
1461741995,0
1461742055,25
1461742115,8.333333333333332
1461742175,0
1461742235,25
1461742295,8.333333333333332
1461742355,0
1461742415,0
1461742475,0
