Timestamp,Memory Utilization
1461736415,0
1461736475,0
1461736535,75
1461736595,25
1461736655,75
1461736715,75
1461736775,25
1461736835,75
1461736895,75
1461736955,75
1461737015,0
1461737075,75
1461737135,100
1461737195,0
1461737255,75
1461737315,75
1461737375,0
1461737435,0
1461737495,75
1461737555,50
1461737615,0
1461737675,75
1461737735,100
1461737795,0
1461737855,75
1461737915,25
1461737975,0
1461738035,75
1461738095,100
1461738155,0
1461738215,75
1461738275,100
1461738335,0
1461738395,75
1461738455,100
1461738515,0
1461738575,75
1461738635,75
1461738695,0
1461738755,75
1461738815,75
1461738875,0
1461738935,75
1461738995,75
1461739055,0
1461739115,75
1461739175,100
1461739235,0
1461739295,75
1461739355,75
1461739415,0
1461739475,75
1461739535,25
1461739595,0
1461739655,75
1461739715,25
1461739775,0
1461739835,75
1461739895,0
1461739955,75
1461740015,75
1461740075,0
1461740135,75
1461740195,100
1461740255,0
1461740315,75
1461740375,0
1461740435,75
1461740495,25
1461740555,75
1461740615,75
1461740675,0
1461740735,75
1461740795,100
1461740855,0
1461740915,75
1461740975,0
1461741035,75
1461741095,75
1461741155,0
1461741215,75
1461741275,100
1461741335,0
1461741395,75
1461741455,75
1461741515,75
1461741575,75
1461741635,0
1461741695,75
1461741755,75
1461741815,0
1461741875,75
1461741935,50
1461741995,0
1461742055,75
1461742115,25
1461742175,0
1461742235,75
1461742295,25
1461742355,0
1461742415,0
1461742475,0
