Timestamp,CPU Nice (%),CPU System (%),CPU User (%),CPU I/O Idle (%),CPU Idle (%)
1461736500,0,0,0,0,0
1461736502,0,1.5,11.9,0.3,86.4
1461736507,0,2.6,25,7.4,64.8
1461736512,0,2.6,31.6,3.4,61.7
1461736517,0,0.7,5.7,0.1,93.4
1461736522,0,2.1,24.3,1.2,72.2
1461736527,0,1.2,13.5,3.6,81.5
1461736532,0,0.9,11.8,7.9,79.3
1461736537,0,0.8,13.6,2.7,82.7
1461736542,0,1,12.1,3.2,83.5
1461736547,0,0.9,10.1,9.6,79.3
1461736552,0,1.1,7.7,1.1,90
1461736557,0,0.3,0.7,0.8,98.2
1461736562,0,0.2,0.7,0.3,98.8
1461736567,0,0.3,2.9,0.2,96.6
1461736572,0,1.5,13.5,2,82.8
1461736577,0,1.7,3.7,16.1,78.1
1461736582,0,1.4,4.5,20.5,72.9
1461736587,0,3.4,31.4,4.2,60.9
1461736592,0,1.3,2.9,3.1,92
1461736597,0,0.6,0.9,1.8,96.5
1461736602,0,1.6,7.7,7.6,83
1461736607,0,1.6,12.8,7.2,78.3
1461736612,0,2.7,21.5,1.5,74.3
1461736617,0,1.5,14.2,2.6,81.5
1461736622,0,0.9,10.3,9.1,79.6
1461736627,0,1,13.7,3.2,82.1
1461736632,0,0.9,11.3,4.3,83.4
1461736637,0,0.8,11.2,4.7,83.2
1461736642,0,1.1,5.1,1.3,92.4
1461736647,0,0.4,0.8,0.6,98.2
1461736652,0,0.2,1.1,0.1,98.7
1461736657,0,0.6,2.4,1.8,95.2
1461736662,0,1.1,5.6,14.9,78.5
1461736667,0,1.3,8.5,7.5,82.3
1461736672,0,1.6,2.9,13.4,81.9
1461736677,0,1.4,3.5,21.6,72.9
1461736682,0,2.2,23.1,5.5,69.2
1461736687,0,2.3,10.8,10.7,75.9
1461736692,0,1.7,3.7,0.5,93.5
1461736697,0,1.1,3,2.9,93
1461736702,0,3.6,23.6,3.7,69
1461736707,0,1.4,14,5.2,79.4
1461736712,0,1.2,14.4,2.3,82
1461736717,0,1,14,3.3,81.6
1461736722,0,1.1,13.3,4.6,80.8
1461736727,0,0.9,11.3,4.7,83.1
1461736732,0,1.3,11.4,1.5,85.7
1461736737,0,0.3,0.9,2.3,96.5
1461736742,0,0.4,1,1.3,97.4
1461736747,0,0.7,2.5,5.7,91.1
1461736752,0,1.3,10.9,6.9,80.4
1461736757,0,1.6,2.2,13.6,82.2
1461736762,0,1.1,2.9,33.8,61.8
1461736767,0,2.5,20.8,1.8,74.5
1461736772,0,2.8,14.2,7.8,74.7
1461736777,0,1.6,0.9,0.5,96.7
1461736782,0,1.6,8.2,9.7,80.4
1461736787,0,1.3,15.6,1.5,81.5
1461736792,0,2,18.6,4,75.4
1461736797,0,1.5,13.3,1.9,83.2
1461736802,0,1.3,12.6,8.3,77.6
1461736807,0,0.9,15.4,5.7,77.8
1461736812,0,0.9,13.5,6.8,78.7
1461736817,0,0.9,12.1,3.7,83.2
1461736822,0,1.1,6.1,1.9,90.8
1461736827,0,0.2,0.7,0.1,99.1
1461736832,0,0.3,1,0.1,98.6
1461736837,0,0.8,2.7,5.1,91.4
1461736842,0,2,14.4,12.2,70.8
1461736847,0,0.8,3.7,25.7,69.5
1461736852,0,1.5,5.8,13,79.2
1461736857,0,1.9,21.8,5.6,70.6
1461736862,0,2.6,6.7,8.3,81.9
1461736867,0,1.3,4.8,2.5,91.1
1461736872,0,2.7,22.1,3.5,71.6
1461736877,0,2.1,27.3,3.2,67.3
1461736882,0,1.1,14.1,6.4,78.2
1461736887,0,1.3,12.8,4.2,81.6
1461736892,0,1.2,15.5,1.8,81.3
1461736897,0,1,11.5,12.7,74.6
1461736902,0,0.9,8.7,4.3,86
1461736907,0,0.3,0.7,0.6,98.4
1461736912,0,1,3.2,0.2,95.6
1461736917,0,0.3,0.7,1.5,97.5
1461736922,0,1.9,12.6,3.8,81.4
1461736927,0,0.9,2.5,29.9,66.3
1461736932,0,0.5,51.4,15.8,32.2
1461736937,0,1.6,4.1,27.4,66.5
1461736942,0,2.8,24.7,12.4,59.9
1461736947,0,2.8,9.4,12.1,75.5
1461736952,0,3,14.9,13.4,68
1461736957,0,2.2,25,0.8,71.9
1461736962,0,2.6,22.3,3.6,71.4
1461736967,0,1.5,15.9,4.1,78.3
1461736972,0,1.3,15.2,9.2,74.1
1461736977,0,1.4,14.1,3.4,81
1461736982,0,1.2,12.6,3.9,82.1
1461736987,0,1.2,11.7,4,83
1461736992,0,1.2,12.8,0.5,85.3
1461736997,0,1.6,15.1,4.9,78.2
1461737002,0,1.4,11.7,3.1,83.4
1461737007,0,1.1,8.8,11.4,78.8
1461737012,0,1.8,4.1,6.2,87.3
1461737017,0,0.9,1.5,13.4,84.1
1461737022,0,1,2.7,27.4,68.8
1461737027,0,1.4,13.7,12.8,72.1
1461737032,0,3.3,18.6,5,72.7
1461737037,0,1.7,1.1,0.6,95.9
1461737042,0,1.9,5.2,6,86.9
1461737047,0,3,31.7,1.6,63.5
1461737052,0,2,14.9,6.2,76.8
1461737057,0,1.1,12.5,7.8,78.5
1461737062,0,1,14.5,3.5,80.9
1461737067,0,1.3,14.4,3.1,81.1
1461737072,0,1.2,12,6.8,79.9
1461737077,0,1,9.1,3.6,86.3
1461737082,0,0.4,2,4.6,93
1461737087,0,0.8,4,1.4,93.8
1461737092,0,1,2.6,14.7,81.6
1461737097,0,1.1,10,6.9,81.7
1461737102,0,1.1,2.3,11.9,84.2
1461737107,0,1.6,3.5,17.4,77.3
1461737112,0,1.8,10.1,8.7,78.9
1461737117,0,2.5,19.6,8.7,69
1461737122,0,2.2,3.3,2.9,91
1461737127,0,1.1,2.9,3.6,92.4
1461737132,0,3.2,22.4,4.3,70.1
1461737137,0,2.2,22.5,3.7,71.4
1461737142,0,1.3,14.7,6.5,77.2
1461737147,0,1,13.9,6.9,78.1
1461737152,0,1.1,16.3,1.7,80.6
1461737157,0,1.2,12.8,10.7,75.1
1461737162,0,1.3,13.9,4.2,80.5
1461737167,0,2.2,15.5,5.8,76.2
1461737172,0,1.7,18,1.2,78.9
1461737177,0,0.9,5,21.7,72.4
1461737182,0,1.3,8,6.6,83.3
1461737187,0,1,1.4,12,85.6
1461737192,0,1.3,3.3,33.1,62.3
1461737197,0,2,28,6,63.9
1461737202,0,2.5,14.7,6.9,75.5
1461737207,0,2.2,18.2,11.4,67.8
1461737212,0,1.7,17.2,11.3,69.7
1461737217,0,3.3,26,2.4,68.2
1461737222,0,1.4,13.5,4.6,80.4
1461737227,0,0.6,6.8,12.2,80.3
1461737232,0,1.2,10.8,6.8,81
1461737237,0,1.7,17.1,4.3,76.6
1461737242,0,1.4,13.8,3.4,81.2
1461737247,0,1.6,11.3,2.1,84.8
1461737252,0,0.4,0.7,0.1,98.9
1461737257,0,0.4,0.8,0.6,98.3
1461737262,0,1.2,5.5,15.7,77.6
1461737267,0,1.1,9.5,12.3,76.7
1461737272,0,1.2,2,18.1,78.3
1461737277,0,1.4,3.2,21.3,74
1461737282,0,1.8,9,5.3,83.1
1461737287,0,2.6,22.2,9.1,66
1461737292,0,2.9,11.4,16.7,68.7
1461737297,0,2.6,33.8,2.8,60.4
1461737302,0,0.7,4.7,4.3,90.2
1461737307,0,2.8,20.7,1,75.5
1461737312,0,1,14.5,6.6,77.7
1461737317,0,1.1,10.6,4.8,83.4
1461737322,0,2.2,16.6,14.4,66.7
1461737327,0,1.5,14.5,2.3,81.5
1461737332,0,1.2,12.9,2.3,83.4
1461737337,0,2,15.7,3.6,78.4
1461737342,0,1.3,11.5,4.4,82.4
1461737347,0,1.3,7.5,11,80
1461737352,0,0.9,7.6,20.1,71.4
1461737357,0,1.4,4.5,15.5,78
1461737362,0,1.2,1.4,14.2,83.1
1461737367,0,1.1,1.9,14.4,82.5
1461737372,0,2.1,25.2,6.3,66.4
1461737377,0,2.7,8,17.8,71.3
1461737382,0,2.4,21.9,14.6,60.3
1461737387,0,1.9,20.5,3.2,74.4
1461737392,0,3,20.8,1.8,74.3
1461737397,0,1.2,14.8,1.5,82.3
1461737402,0,1.2,14.9,5.2,78.5
1461737407,0,1.4,15.5,1.6,81.3
1461737412,0,1,14.5,4.8,79.6
1461737417,0,0.8,4.9,7.1,87.1
1461737422,0,0.4,0.7,0.1,98.8
1461737427,0,0.3,0.9,0.3,98.5
1461737432,0,1.3,4.2,3.3,91.1
1461737437,0,1.5,12.6,10.8,74.9
1461737442,0,0.9,2.5,19.5,76.6
1461737447,0,1.7,4,29.5,64.3
1461737452,0,1.7,18.2,26.9,52.8
1461737457,0,2.5,16.1,7.7,73.4
1461737462,0,2,11,21.4,65.4
1461737467,0,2.6,30.7,1.2,65.5
1461737472,0,2.3,17.6,1.8,78.3
1461737477,0,2.1,13.9,3.8,80.1
1461737482,0,1.4,13.4,4.8,80.4
1461737487,0,1.6,14.2,2.5,81.6
1461737492,0,1,12.3,6.2,80.3
1461737497,0,1,12.3,5.3,81.2
1461737502,0,0.8,3.7,8.8,86.7
1461737507,0,0.3,1,0.7,98
1461737512,0,0.3,1.1,0.7,98
1461737517,0,0.4,0.7,0.5,98.5
1461737522,0,1.4,4.2,5.1,89.3
1461737527,0,1.3,10.6,13.8,74.1
1461737532,0,1.6,6.2,11.3,80.3
1461737537,0,1.7,3.2,22.2,72.5
1461737542,0,1.7,11.2,6.9,79.9
1461737547,0,2.3,21.3,8.4,67.7
1461737552,0,1.7,3.4,0.8,93.6
1461737557,0,1.1,3.8,6,89
1461737562,0,1.4,11.3,16.5,70.8
1461737567,0,3.8,25.8,4.6,65.6
1461737572,0,1.3,14.2,2,82.4
1461737577,0,1.1,12.2,3.8,82.6
1461737582,0,2.1,19.8,3.3,74.6
1461737587,0,0.9,11.4,12.8,74.8
1461737592,0,1.4,11.1,2.7,84.7
1461737597,0,0.4,0.9,1.7,96.9
1461737602,0,0.3,0.5,0.1,99.1
1461737607,0,0.3,0.9,0.2,98.6
1461737612,0,1,6.7,6.4,85.9
1461737617,0,1.6,8.1,8.6,81.1
1461737622,0,1.3,2.9,25.6,69.9
1461737627,0,1.7,5,13.4,79
1461737632,0,2.3,26.5,7.2,64
1461737637,0,2.4,7.3,16.2,73.4
1461737642,0,0.6,0.9,2.2,96.1
1461737647,0,1.2,2.5,4,92.2
1461737652,0,3.4,32.9,4.1,59.2
1461737657,0,1.7,15.4,3.4,79.4
1461737662,0,1.5,14.7,4,79.6
1461737667,0,1.5,15,1.7,81.6
1461737672,0,1.1,11.9,2.8,84.1
1461737677,0,0.9,11.7,3.8,83.5
1461737682,0,2.1,16.6,5.1,76
1461737687,0,1,11.5,5.7,81.7
1461737692,0,1,11.3,5.3,82.2
1461737697,0,1,10.1,10.1,78.6
1461737702,0,1.1,3.9,22.9,71.6
1461737707,0,1,1.8,13.6,83.4
1461737712,0,1.4,2.3,10.6,85.7
1461737717,0,1.8,19.8,9.4,68.9
1461737722,0,3.1,12.4,7.5,76.6
1461737727,0,2.2,18.2,12.9,66.3
1461737733,0,2.7,18.8,9.6,68.2
1461737738,0,2.3,17.5,3.5,76.7
1461737743,0,1.8,16.5,6.7,74.7
1461737748,0,1.3,15.6,5.7,77.3
1461737753,0,1.3,14.2,3.8,80.4
1461737758,0,0.9,11.9,2.6,84.4
1461737763,0,1,12.9,3.4,82.6
1461737768,0,0.5,4.6,1.4,93.5
1461737773,0,0.9,7.8,0.2,91.1
1461737778,0,0.3,0.7,1.6,97.5
1461737783,0,1.6,9.7,6.8,81.8
1461737788,0,1.4,5.2,13,79.9
1461737793,0,1.5,3.3,14,81
1461737798,0,2,11.6,8.1,77.7
1461737803,0,1.2,21.1,21.3,56.3
1461737808,0,0.7,1.3,26.4,71.5
1461737813,0,0.5,1.4,28.3,69.7
1461737818,0,1.2,2.9,23.1,72.7
1461737823,0,1.5,4.3,21.1,73
1461737828,0,2.3,24.9,4.1,68
1461737833,0,3.6,30.9,1.4,63.9
1461737838,0,1.3,14,2,82.6
1461737843,0,1,9.9,14.3,74.7
1461737848,0,0.8,14.5,1.2,83.3
1461737853,0,1.7,16.9,1.8,79.5
1461737858,0,1.1,13.4,6.7,78.5
1461737863,0,1.1,11.2,6.6,81
1461737868,0,0.3,1.6,0.9,97.2
1461737873,0,0.4,1,0.3,98.4
1461737878,0,0.3,0.6,0.1,99
1461737883,0,0.5,1.8,3,94.6
1461737888,0,2,11.6,7.7,78.2
1461737893,0,0.8,3.7,17.9,77.3
1461737898,0,1.4,3.1,15.8,79.6
1461737903,0,1.6,3.1,10.9,83.8
1461737908,0,2.5,27.7,3.6,66.1
1461737913,0,1.6,5.1,5.4,87.5
1461737918,0,1.6,2.2,1.2,94.7
1461737923,0,1.9,7.7,7.7,82.7
1461737928,0,2.9,27.6,6.6,62.7
1461737933,0,2,22,1.6,74.3
1461737938,0,0.9,13.9,1.8,83.2
1461737943,0,1.6,17,1.3,80
1461737948,0,1.1,14.7,3.6,80.5
1461737953,0,2.2,17.3,0.4,79.6
1461737958,0,1.2,12.2,2.3,84
