Timestamp,15 Minute Load,5 Minute Load,1 Minute Load
1461736500,0,0,0
1461736502,2.07,1.63,0.42
1461736507,2.08,1.67,0.7
1461736512,2.08,1.66,0.73
1461736517,2.08,1.67,0.83
1461736522,2.08,1.67,0.92
1461736527,2.08,1.68,1.01
1461736532,2.07,1.67,1.01
1461736537,2.06,1.66,1.01
1461736542,2.06,1.64,1.01
1461736547,2.06,1.65,1.09
1461736552,2.05,1.64,1.08
1461736557,2.04,1.61,0.99
1461736562,2.03,1.59,0.91
1461736567,2.02,1.56,0.84
1461736572,2.01,1.53,0.77
1461736577,2,1.52,0.79
1461736582,2,1.53,0.89
1461736587,2.01,1.56,1.06
1461736592,2.01,1.56,1.13
1461736597,2,1.54,1.04
1461736602,1.99,1.51,0.96
1461736607,1.98,1.5,0.96
1461736612,1.97,1.48,0.89
1461736617,1.98,1.52,1.13
1461736622,1.98,1.51,1.12
1461736627,1.98,1.52,1.19
1461736632,1.98,1.55,1.34
1461736637,1.99,1.57,1.47
1461736642,1.98,1.56,1.43
1461736647,1.97,1.53,1.32
1461736652,1.96,1.51,1.21
1461736657,1.96,1.5,1.2
1461736662,1.96,1.53,1.34
1461736667,1.96,1.52,1.31
1461736672,1.95,1.51,1.29
1461736677,1.96,1.53,1.43
1461736682,1.95,1.52,1.39
1461736687,1.95,1.52,1.36
1461736692,1.94,1.51,1.33
1461736697,1.93,1.48,1.23
1461736702,1.93,1.47,1.21
1461736707,1.93,1.5,1.35
1461736712,1.93,1.49,1.32
1461736717,1.93,1.5,1.38
1461736722,1.93,1.52,1.51
1461736727,1.94,1.55,1.63
1461736732,1.94,1.56,1.66
1461736737,1.93,1.53,1.52
1461736742,1.92,1.5,1.4
1461736747,1.91,1.48,1.29
1461736752,1.91,1.49,1.35
1461736757,1.9,1.48,1.32
1461736762,1.95,1.62,2.01
1461736767,1.94,1.61,1.93
1461736772,1.95,1.65,2.1
1461736777,1.94,1.62,1.93
1461736782,1.99,1.76,2.58
1461736787,2,1.8,2.69
1461736792,1.99,1.77,2.47
1461736797,1.98,1.76,2.36
1461736802,1.98,1.74,2.25
1461736807,1.97,1.73,2.15
1461736812,1.97,1.72,2.06
1461736817,1.96,1.71,1.97
1461736822,1.96,1.71,1.97
1461736827,1.95,1.68,1.82
1461736832,1.94,1.66,1.67
1461736837,1.93,1.63,1.54
1461736842,1.97,1.75,2.13
1461736847,1.97,1.77,2.2
1461736852,1.98,1.79,2.27
1461736857,1.98,1.8,2.25
1461736862,1.98,1.82,2.31
1461736867,1.97,1.79,2.12
1461736872,1.97,1.79,2.11
1461736877,2.01,1.91,2.66
1461736882,2.01,1.91,2.61
1461736887,2,1.9,2.48
1461736892,2,1.9,2.44
1461736897,2,1.88,2.33
1461736902,2,1.9,2.38
1461736907,1.99,1.87,2.19
1461736912,1.98,1.84,2.02
1461736917,1.97,1.81,1.85
1461736922,1.96,1.78,1.71
1461736927,1.98,1.85,2.05
1461736932,2.03,1.98,2.69
1461736937,2.03,1.98,2.63
1461736942,2.05,2.05,2.9
1461736947,2.04,2.03,2.75
1461736952,2.05,2.05,2.77
1461736957,2.05,2.06,2.79
1461736962,2.04,2.03,2.56
1461736967,2.04,2.03,2.52
1461736972,2.04,2.01,2.4
1461736977,2.03,2,2.29
1461736982,2.04,2.01,2.34
1461736987,2.05,2.06,2.56
1461736992,2.06,2.08,2.59
1461736997,2.06,2.08,2.54
1461737002,2.06,2.08,2.5
1461737007,2.07,2.11,2.62
1461737012,2.06,2.09,2.49
1461737017,2.05,2.07,2.37
1461737022,2.05,2.07,2.34
1461737027,2.05,2.05,2.23
1461737032,2.05,2.07,2.3
1461737037,2.05,2.05,2.19
1461737042,2.04,2.02,2.02
1461737047,2.03,2,1.93
1461737052,2.04,2.03,2.1
1461737057,2.04,2.03,2.09
1461737062,2.04,2.01,2.01
1461737067,2.04,2.01,2
1461737072,2.03,2,1.92
1461737077,2.02,1.98,1.85
1461737082,2.01,1.95,1.7
1461737087,2,1.92,1.57
1461737092,1.99,1.88,1.44
1461737097,1.99,1.89,1.49
1461737102,1.99,1.87,1.45
1461737107,1.99,1.87,1.49
1461737112,1.99,1.89,1.61
1461737117,1.99,1.89,1.64
1461737122,1.99,1.88,1.59
1461737127,1.98,1.87,1.54
1461737132,1.98,1.87,1.58
1461737137,1.98,1.87,1.61
1461737142,1.98,1.85,1.57
1461737147,1.98,1.86,1.6
