Timestamp,Cached (B),Free (B),Shared (B),Swap (B)
1461736500,0,0,0,0
1461736502,1105932288,2396188672,0,7442595840
1461736507,1493012480,1682792448,0,7442841600
1461736512,1301917696,1326342144,0,7442956288
1461736517,1301925888,1196486656,0,7442964480
1461736522,1399705600,741060608,0,7443046400
1461736527,1554681856,537587712,0,7443050496
1461736532,1696452608,384897024,0,7443107840
1461736537,1881427968,195977216,0,7443107840
1461736542,2017906688,54075392,0,7443173376
1461736547,2019557376,53510144,0,7443189760
1461736552,1936642048,60563456,0,7443316736
1461736557,1937137664,60469248,0,7443316736
1461736562,1937207296,61071360,0,7443410944
1461736567,1908477952,89313280,0,7443419136
1461736572,1974308864,1615441920,0,7443673088
1461736577,2588696576,985419776,0,7443677184
1461736582,2991747072,548024320,0,7443681280
1461736587,3140440064,58822656,0,7443869696
1461736592,3094777856,107044864,0,7443988480
1461736597,3031011328,171175936,0,7444238336
1461736602,3017089024,65228800,0,7446544384
1461736607,2721550336,60526592,0,7447916544
1461736612,2293133312,54976512,0,7447920640
1461736617,2239664128,51167232,0,7448588288
1461736622,2228752384,56700928,0,7448064000
1461736627,2247053312,50884608,0,7447666688
1461736632,2250145792,54341632,0,7447093248
1461736637,2249490432,56352768,0,7446691840
1461736642,2194026496,53899264,0,7446605824
1461736647,2194128896,52334592,0,7447453696
1461736652,2194128896,52080640,0,7447453696
1461736657,2195357696,52092928,0,7448117248
1461736662,2208931840,1468342272,0,7448195072
1461736667,2491125760,1133137920,0,7449837568
1461736672,3095203840,505696256,0,7449837568
1461736677,3362795520,223453184,0,7450533888
1461736682,3252137984,92921856,0,7450546176
1461736687,3164594176,53948416,0,7448735744
1461736692,3053027328,172339200,0,7448842240
1461736697,3140722688,51548160,0,7449071616
1461736702,2438234112,59445248,0,7448473600
1461736707,2300108800,63737856,0,7448412160
1461736712,2258825216,56807424,0,7448014848
1461736717,2263363584,55226368,0,7447461888
1461736722,2267852800,58359808,0,7447015424
1461736727,2268397568,58060800,0,7446581248
1461736732,2198130688,54927360,0,7445917696
1461736737,2191413248,51609600,0,7445823488
1461736742,2184495104,60981248,0,7445803008
1461736747,2190237696,1520013312,0,7445848064
1461736752,2356514816,1238298624,0,7446069248
1461736757,2881683456,696340480,0,7446073344
1461736762,3203850240,338755584,0,7446114304
1461736767,3277172736,72687616,0,7446069248
1461736772,3148988416,58441728,0,7444377600
1461736777,3107082240,110018560,0,7444455424
1461736782,3078242304,60399616,0,7444221952
1461736787,2724106240,83415040,0,7444131840
1461736792,2385870848,58470400,0,7444013056
1461736797,2265522176,55590912,0,7443894272
1461736802,2216271872,57942016,0,7444381696
1461736807,2036645888,248020992,0,7444705280
1461736812,2138120192,145104896,0,7444258816
1461736817,2222858240,58650624,0,7442989056
1461736822,2152214528,57044992,0,7442657280
1461736827,2152222720,56520704,0,7442661376
1461736832,2148016128,62812160,0,7442665472
1461736837,2148868096,1566756864,0,7442845696
1461736842,2532208640,1067151360,0,7443144704
1461736847,3019927552,557076480,0,7443148800
1461736852,3239194624,392478720,0,7443148800
1461736857,3282882560,55214080,0,7443111936
1461736862,3137613824,81334272,0,7440048128
1461736867,3124248576,51826688,0,7440060416
1461736872,2672320512,59678720,0,7437791232
1461736877,2279952384,58138624,0,7437791232
1461736882,2255699968,57143296,0,7436361728
1461736887,2219274240,55799808,0,7436226560
1461736892,2215964672,58707968,0,7436173312
1461736897,2221412352,50180096,0,7436152832
1461736902,2212327424,58982400,0,7436333056
1461736907,2212507648,59142144,0,7436386304
1461736912,2135535616,52592640,0,7436386304
1461736917,2130890752,55656448,0,7436451840
1461736922,2258706432,1338826752,0,7436599296
1461736927,2512809984,1076985856,0,7437074432
1461736932,2580287488,985276416,0,7437422592
1461736937,3231690752,291770368,0,7438110720
1461736942,3245576192,53305344,0,7438123008
1461736947,3118305280,53194752,0,7437643776
1461736952,2928398336,91906048,0,7434731520
1461736957,2482434048,61005824,0,7434792960
1461736962,2058960896,57139200,0,7434883072
1461736967,1958334464,55443456,0,7434407936
1461736972,1896857600,56520704,0,7434145792
1461736977,1831047168,58421248,0,7434190848
1461736982,1783525376,55627776,0,7433674752
1461736987,1781374976,58105856,0,7433977856
1461736992,1778499584,64638976,0,7433977856
1461736997,1725489152,52961280,0,7434547200
1461737002,1718411264,961503232,0,7434625024
1461737007,1731100672,1881972736,0,7435116544
1461737012,2240176128,1345204224,0,7435116544
1461737017,2658852864,919408640,0,7435292672
1461737022,3107463168,441970688,0,7435317248
1461737027,3118440448,339169280,0,7435747328
1461737032,3158867968,59064320,0,7435530240
1461737037,2968211456,245555200,0,7436197888
1461737042,3042865152,64540672,0,7435272192
1461737047,2452803584,56455168,0,7434625024
1461737052,2231398400,55873536,0,7434498048
1461737057,2203697152,68255744,0,7433224192
1461737062,2189025280,52973568,0,7432994816
1461737067,2126008320,58322944,0,7432134656
1461737072,2084896768,56111104,0,7432388608
1461737077,2046025728,66838528,0,7432146944
1461737082,2047201280,64004096,0,7432871936
1461737087,1995931648,55611392,0,7432794112
1461737092,1966833664,1746644992,0,7433977856
1461737097,2094260224,1498857472,0,7434219520
1461737102,2496163840,1083867136,0,7434231808
1461737107,3007676416,550412288,0,7434919936
1461737112,3260055552,246763520,0,7434924032
1461737117,3184300032,52977664,0,7433805824
1461737122,3098148864,124579840,0,7433347072
1461737127,3114442752,54751232,0,7432323072
1461737132,2379739136,231116800,0,7432052736
1461737137,2223067136,59265024,0,7431462912
1461737142,2155909120,53661696,0,7430115328
1461737147,2153758720,51970048,0,7429337088
1461737152,2153668608,58802176,0,7428632576
1461737157,2099904512,58609664,0,7428726784
1461737162,2094415872,57311232,0,7428763648
1461737167,1941762048,77262848,0,7429128192
1461737172,1940959232,59236352,0,7429152768
1461737177,1951027200,1686929408,0,7430250496
1461737182,2236055552,1346207744,0,7430279168
1461737187,2776244224,797802496,0,7430283264
