Timestamp,CPU Nice (%),CPU System (%),CPU User (%),CPU I/O Idle (%),CPU Idle (%)
1461736500,0,0,0,0,0
1461736502,0,0.3,0.5,0.3,98.8
1461736507,0,0.3,0.2,0.3,99.2
1461736512,0,6.7,4.6,22.9,63.2
1461736517,0,5.6,54,14,26
1461736522,0,0.7,2.2,26.1,71
1461736527,0,4,56.8,22.8,16.3
1461736532,0,2.3,55.1,0.2,42.1
1461736537,0,3.1,65,0.2,31.3
1461736542,0,2.4,55.3,0.2,41.7
1461736547,0,3,50.6,0.4,45.7
1461736553,0,2.7,56.9,2.8,37.2
1461736558,0,1.6,42.7,16.6,38.8
1461736563,0,1.9,53.2,0.5,44.3
1461736568,0,1.8,55.2,0.3,42.5
1461736573,0,1.2,20.8,0.2,77.3
1461736578,0,0.6,0.5,0.4,98.2
1461736583,0,0.4,0.4,0,98.6
1461736588,0,0.6,0.4,18.1,80.9
1461736593,0,8.2,13.3,13.7,62.1
1461736598,0,4,38.1,54.8,2
1461736603,0,8.2,87.9,0.2,3.6
1461736608,0,8.3,91.7,0,0
1461736613,0,4.4,87,0,8.6
1461736618,0,5.5,77.9,0,16.4
1461736623,0,2.5,54.1,4.3,38.8
1461736628,0,2,38.9,45.1,13.8
1461736633,0,2.9,57.1,0,39.8
1461736638,0,3.3,58.5,6.9,31.2
1461736643,0,2.5,55.2,3.7,38.2
1461736648,0,2.1,48.6,14.6,34.5
1461736653,0,2.1,44.4,18.2,34.6
1461736658,0,2.4,50.6,0.3,46.7
1461736663,0,1.5,6.9,0.1,91.4
1461736668,0,1.6,1.7,0.3,95.5
1461736673,0,0.4,0.3,0.4,98.9
1461736678,0,0.6,0.9,0.2,97.2
1461736683,0,0.4,0.4,0,99.2
1461736688,0,0.4,1.2,0.6,97.8
1461736693,0,11.3,51.1,4.9,28.4
1461736698,0,2.5,55.4,30.8,10.6
1461736703,0,2.3,34.4,0,63.3
1461736708,0,3.4,42.7,0.8,53
1461736713,0,4,55.4,0.3,40.1
1461736718,0,2.6,59.5,2.5,35
1461736723,0,4.2,62.7,12,20.2
1461736728,0,2.7,57.7,1.7,37.7
1461736733,0,3,56.6,6.2,33.9
1461736738,0,2.2,55.8,3.8,37.6
1461736743,0,2.5,54.1,0.7,42.4
1461736748,0,1.8,24.9,2.9,70
1461736753,0,0.8,1.4,0.4,96.8
1461736758,0,0.4,0.4,0.3,98.7
1461736763,0,0.8,0.6,0,98.2
1461736768,0,0.5,0.3,0.3,98.7
1461736773,0,2,3.2,0.6,93.5
1461736778,0,9.9,55.3,4.3,27
1461736783,0,8.8,83.5,0.1,7.5
1461736788,0,5.9,94.1,0,0
1461736793,0,4.8,90.8,0.1,4.2
1461736798,0,5.1,78.8,0,15.9
1461736803,0,3.9,54.4,5.7,35.2
1461736808,0,1.8,62.1,0.4,35.5
1461736813,0,2.6,49.9,8.7,38.2
1461736818,0,2.2,47.3,0.6,49.2
1461736823,0,2.4,48,13.1,36.4
1461736828,0,2.7,54.9,6,35.6
1461736833,0,2.3,54.8,0.2,42.5
1461736838,0,2,30.3,0.4,66.9
1461736843,0,2,7.6,3.2,85.3
1461736848,0,0.2,0.2,0.2,99.2
1461736853,0,1.6,2,0.4,95.3
1461736858,0,0.2,0.2,0,99.6
1461736863,0,6,18.7,1.1,71.8
1461736868,0,7.6,82.7,1.9,5.8
1461736873,0,2.5,30.7,0.3,66.2
1461736878,0,4.3,48.2,0,47.4
1461736883,0,4.5,58.8,0.3,36.3
1461736888,0,2.8,60.3,3.1,33.5
1461736893,0,2.5,55.3,0.2,41.4
1461736898,0,2.5,55.6,0.2,41.3
1461736903,0,3.6,62.7,1.6,31.5
1461736908,0,1.7,51.2,10,36.8
1461736913,0,3.2,53.5,6.8,35.8
1461736918,0,1.7,53,0.3,45
1461736923,0,1.9,13,0.4,84.1
1461736928,0,0.3,0.1,0.3,99
1461736933,0,0.3,0.1,0,99.6
1461736938,0,0.7,0.6,0.3,97.6
1461736943,0,0.3,0.4,14.9,84.3
1461736948,0,0.4,0.2,0.8,98.6
1461736953,0,4.6,3.1,1,87.1
1461736958,0,5.9,48.8,12,33.1
1461736963,0,7.1,72.7,18.1,2
1461736968,0,7,92.9,0,0
1461736973,0,5.6,94.2,0,0
1461736978,0,3.7,80.5,0,15.4
1461736983,0,3.4,59,0.5,36.6
1461736988,0,3.3,54.4,1.7,39.9
1461736993,0,1.9,34.7,0.3,62.4
1461736998,0,0.7,0.6,0.2,98.2
1461737003,0,0.9,1.6,0.6,96.7
1461737008,0,0.2,0.7,0.3,98.7
1461737013,0,0.5,0.7,0.3,98
1461737018,0,0.5,0.2,4.4,94.9
1461737023,0,0.7,7.8,0.3,91.2
1461737028,0,0.4,0.3,0.3,99
1461737033,0,3.1,5.1,0,90.5
1461737038,0,11.7,63.6,2.2,19.1
1461737043,0,5.2,62.5,0.2,32
1461737048,0,0.6,0.9,0.2,98.3
1461737053,0,5.1,56.1,0,38.6
1461737058,0,3.4,56,3.7,36.7
1461737063,0,3.5,60.4,12.1,23.1
1461737068,0,4.3,54.5,0.2,41
1461737073,0,2.2,59.5,0.4,37.3
1461737078,0,3.5,54.2,0.5,41.5
1461737083,0,3.1,56.4,9.5,30.5
1461737088,0,2.4,53.9,8.7,34.5
1461737093,0,2.7,19.7,0.9,76.5
1461737098,0,0.4,0.6,0.6,98.1
1461737103,0,0.2,0.6,0.3,98.7
1461737108,0,0.3,0.3,0.3,99
1461737113,0,0.6,0.7,0,98.3
1461737118,0,0.4,0.3,0.3,99
1461737123,0,10.5,47.8,1.4,36
1461737128,0,5.4,68.3,1.7,24.2
1461737133,0,1.3,6.8,4.1,87.5
1461737138,0,3.1,42,0.3,54.6
1461737143,0,10.4,81.8,0,7.5
1461737148,0,5.8,93.9,0,0.1
1461737153,0,5.5,94.1,0,0
1461737158,0,5.1,92.6,1.4,0.2
1461737163,0,3.2,57.1,3.6,35.3
1461737168,0,0.7,10.3,3.5,84.8
1461737173,0,1.5,2.5,2.3,93.5
1461737178,0,0.5,1.1,0.1,98.3
1461737183,0,1,0.9,0.4,96.9
1461737188,0,0.1,0.3,0.3,99.3
1461737193,0,0.2,0.3,0.3,99.2
1461737198,0,0.6,7.3,0,92.1
1461737203,0,0.3,0.6,0.3,98.7
1461737208,0,6.3,6.1,4.6,81.2
1461737213,0,5.7,52.4,7.8,33.8
1461737218,0,3.1,26.4,0.3,69.6
1461737223,0,4.1,66.3,0.1,28.9
1461737228,0,3.5,59.5,0.2,36.6
1461737233,0,3.1,53.8,4.4,38.3
1461737238,0,2.3,55.3,11.5,30.2
1461737243,0,2.8,56,0.5,40.5
1461737248,0,4.3,50.6,8.9,35.9
1461737253,0,2.2,52,3.9,41.4
1461737258,0,2.8,59.9,0.7,36.2
1461737263,0,1.3,7.8,2.7,88
1461737268,0,0.7,1,0.3,97.4
1461737273,0,0.4,0.4,0.4,98.7
1461737278,0,1.3,1.5,0.2,96.7
1461737283,0,0.3,0.7,0.4,97.9
1461737288,0,0.2,0.5,0.2,99.1
1461737293,0,6.1,3.9,7.1,79.4
1461737298,0,2.8,5.9,17.6,73.3
1461737303,0,2.8,48.5,7.7,40.9
1461737308,0,2.6,27.1,1.1,69.1
1461737313,0,4.5,64.4,0.3,30.4
1461737318,0,4.6,61.8,0.3,33.1
1461737323,0,8.5,67.9,14.1,8.8
1461737328,0,6.2,93.8,0,0
1461737333,0,7.2,92.4,0,0.1
1461737338,0,3.1,66.3,0.3,29.4
1461737343,0,1,1.6,0.3,97
1461737348,0,0.9,3,0.5,95.4
1461737353,0,0.4,0.5,3.7,95.1
1461737358,0,0.9,0.8,0.4,97.5
1461737363,0,0.3,0.2,0,99.5
1461737368,0,0.2,0.4,0.3,99.1
1461737373,0,0.2,0.2,0.2,99.4
1461737378,0,1,7.6,0.3,91.1
1461737383,0,6.3,7.6,13.4,70.5
1461737388,0,4,51.9,3.3,40.5
1461737393,0,2.4,34.8,3.4,59.1
1461737398,0,4.7,57.4,1.2,36.2
1461737403,0,2.5,58.5,0.6,38
1461737408,0,3.2,59.7,6.6,29.8
1461737413,0,3.1,56.8,0.3,39.6
1461737418,0,3.6,54.8,2,39
1461737423,0,4.5,55,1.7,38.2
1461737428,0,4.4,53.9,0.3,41
1461737433,0,3.3,27.7,14.2,54.4
1461737438,0,1.1,7.7,0.8,89.9
1461737443,0,0.4,0.8,0,98.6
1461737448,0,0.8,0.7,0.3,97.6
1461737453,0,0.3,0.4,0.2,99.1
1461737458,0,0.8,1.5,0.3,97.4
1461737463,0,5.1,4.2,1.7,86.9
1461737468,0,5.3,38.7,15.4,40.3
1461737473,0,1.3,24.9,3.3,70.4
1461737478,0,5.5,68.4,0,25.8
1461737483,0,3,54.6,0.1,42
1461737488,0,3.1,57.7,2.4,36.2
1461737493,0,3.1,55.8,10.5,29.7
1461737498,0,3.9,59.6,1.2,35
1461737503,0,9.8,77.7,8.2,4
1461737508,0,5.6,93.7,0.1,0.1
1461737513,0,4.3,95,0.2,0.1
1461737518,0,4.5,90,0,4.5
1461737523,0,1.9,34.1,1.3,62.6
1461737528,0,0.6,0.7,0.3,97.8
1461737533,0,0.3,0.3,0.3,98.9
1461737538,0,1,0.5,0,98.2
1461737543,0,0.4,0.4,0.4,98.7
1461737548,0,0.4,0.3,1.1,98.2
1461737553,0,11.8,47.9,4.1,31.5
1461737558,0,4.6,80.2,2,13.1
1461737563,0,1.2,6.3,0.2,92.3
1461737568,0,0.4,4.3,0.4,94.8
1461737573,0,6.7,71.3,1.8,19.4
1461737578,0,3.2,54.9,0.4,40.8
1461737583,0,2.6,60.3,6.8,29.9
1461737588,0,3,53.2,8.6,34.7
1461737593,0,3.3,51,0.7,44.5
1461737599,0,5.8,60,1,32.9
1461737604,0,4.2,57,2,36.1
1461737609,0,7.2,53.5,0.4,38.7
1461737614,0,2.3,16.2,1.5,79.9
1461737619,0,1,2.3,16.1,79.1
1461737624,0,1.2,5.5,0.8,92.5
1461737629,0,0.8,0.8,6.5,90.9
1461737634,0,0.4,0.2,0.2,99.2
1461737639,0,5,4.2,13.3,75.4
1461737644,0,6.5,34.6,25.1,33.6
1461737649,0,4.7,80.3,2.5,12.1
1461737654,0,0.4,3.5,0.1,95.9
1461737659,0,4.5,57.6,3.2,34.4
1461737664,0,4.1,52.2,3.8,39.6
1461737669,0,2.4,44.8,9.5,43.2
1461737674,0,2.4,52.9,4.4,39.6
1461737679,0,2.2,52,3.1,42.4
1461737684,0,8.5,56.3,23.2,11.6
1461737689,0,6.8,87.1,3.5,1.5
1461737694,0,3,57.2,13.5,25.9
1461737699,0,1.6,15.6,1.5,80.8
1461737704,0,1.4,1.6,1,95.6
1461737709,0,0.2,0.2,0.4,99.2
1461737714,0,0.2,0.4,0,99.4
1461737719,0,0.1,0.4,0.3,99.2
1461737724,0,0.3,0.5,0.5,98.7
1461737729,0,5.5,4.9,3.4,82.6
1461737734,0,5.6,41.2,0,51.1
1461737739,0,1,18.7,8.2,72.1
1461737744,0,4.8,72.5,0,22.5
1461737749,0,2.4,55.4,0.3,41.7
1461737754,0,3.1,57.6,0.4,37.9
1461737759,0,2.2,58.2,5.8,33.4
1461737764,0,5.3,53.9,8.2,32
1461737769,0,2.6,55.7,1.7,39.6
1461737774,0,3.1,47.8,10.6,38.2
1461737779,0,1.9,47.5,15,35.4
1461737784,0,1,11.5,0.7,86.3
1461737789,0,0.4,0.5,0.2,98.1
1461737794,0,0.4,0.3,0,98.9
1461737799,0,0.7,0.4,0.3,98.1
1461737804,0,0.9,7.2,0,91.8
1461737809,0,0.2,0.3,0.7,98.8
1461737814,0,0.3,0.5,0.3,98.9
1461737819,0,0.3,0.4,0.3,99
1461737824,0,3.7,3.5,1.2,90.9
1461737829,0,5.1,5.4,16.9,71.5
1461737834,0,5.8,65.4,3.3,25
1461737839,0,5.6,59.9,17.5,16.8
1461737844,0,2.5,56.1,0.3,40.9
1461737849,0,2.9,60,0.8,36
1461737854,0,2.4,48.4,12.9,36.1
1461737859,0,4.6,60.9,1.5,32.8
1461737864,0,8.1,75.7,12.2,3.6
1461737869,0,4.7,94.8,0,0
1461737874,0,5.5,93.5,0.4,0
1461737879,0,3.9,89.4,5.7,0
1461737884,0,3.3,42.8,2.1,51.8
1461737889,0,0.8,0.5,0.3,97.3
1461737894,0,0.2,0.2,0.1,99.5
1461737899,0,0.5,0.4,0.3,98.6
1461737904,0,0.5,0.6,0.3,98
1461737909,0,0.4,1,5.4,93.2
1461737914,0,5.7,10.5,4.3,77.2
1461737919,0,6.7,69.5,3.7,18.2
1461737924,0,3.1,54.5,17.4,24.5
1461737929,0,0.3,0.9,0.4,98.4
1461737934,0,8,67.4,0,24.6
1461737939,0,2.6,55.4,0,42
1461737944,0,4,58.8,5.3,31.2
1461737949,0,2.3,54.4,0,42.9
1461737954,0,1.5,18.6,0.4,79
1461737959,0,0.4,0.9,0.3,97.9
1461737964,0,1.2,2.4,0.5,95.8
1461737969,0,1.3,1.4,0.1,96.3
1461737974,0,0.7,0.3,5.4,93.3
1461737979,0,0.2,0.4,0.4,99
1461737984,0,1,7.3,0,91.7
1461737989,0,0.3,0.3,0.4,98.9
1461737994,0,0.3,0.6,0.5,98.6
1461737999,0,5.7,3.8,0.3,86.5
1461738004,0,5.8,40.3,13.9,39.4
1461738009,0,1.6,16.8,2.2,79.3
1461738014,0,5.8,73.4,0,20.7
1461738019,0,2.2,54.8,0.3,42.4
1461738024,0,2.6,58.4,2.5,35.7
1461738029,0,2.2,54.1,0.5,42.7
