Timestamp,15 Minute Load,5 Minute Load,1 Minute Load
1461736500,0,0,0
1461736502,0.85,0.61,0.24
1461736507,0.85,0.6,0.22
1461736512,0.84,0.59,0.21
1461736517,0.85,0.63,0.43
1461736522,0.85,0.62,0.4
1461736527,0.86,0.64,0.52
1461736532,0.86,0.66,0.64
1461736537,0.87,0.68,0.75
1461736542,0.87,0.71,0.85
1461736547,0.88,0.73,0.94
1461736553,0.88,0.73,0.95
1461736558,0.89,0.75,1.03
1461736563,0.89,0.76,1.03
1461736568,0.89,0.78,1.11
1461736573,0.89,0.77,1.02
1461736578,0.88,0.75,0.94
1461736583,0.88,0.74,0.86
1461736588,0.87,0.73,0.79
1461736593,0.87,0.72,0.73
1461736598,0.88,0.77,0.99
1461736603,0.91,0.84,1.31
1461736608,0.94,0.94,1.77
1461736613,0.95,0.98,1.87
1461736618,0.96,0.99,1.88
1461736623,0.96,0.99,1.81
1461736628,0.97,1.04,1.98
1461736633,0.98,1.06,1.98
1461736638,0.98,1.08,1.99
1461736643,0.99,1.09,1.99
1461736648,0.99,1.09,1.91
1461736653,0.99,1.1,1.91
1461736658,1,1.14,2
1461736663,1,1.12,1.84
1461736668,0.99,1.1,1.69
1461736673,0.99,1.08,1.56
1461736678,0.98,1.06,1.43
1461736683,0.98,1.04,1.32
1461736688,0.97,1.03,1.21
1461736693,0.99,1.08,1.44
1461736698,0.99,1.07,1.4
1461736703,0.98,1.06,1.29
1461736708,0.99,1.09,1.43
1461736713,1,1.1,1.47
1461736718,1,1.12,1.51
1461736723,1.01,1.13,1.55
1461736728,1.02,1.15,1.59
1461736733,1.02,1.16,1.62
1461736738,1.03,1.18,1.65
1461736743,1.03,1.19,1.68
1461736748,1.03,1.17,1.55
1461736753,1.02,1.15,1.42
1461736758,1.02,1.13,1.31
1461736763,1.01,1.11,1.2
1461736768,1,1.09,1.11
1461736773,1,1.08,1.02
1461736778,1.01,1.11,1.18
1461736783,1.04,1.19,1.56
1461736788,1.07,1.3,2.08
1461736793,1.08,1.31,2.07
1461736798,1.1,1.36,2.23
1461736803,1.1,1.37,2.21
1461736808,1.1,1.36,2.11
1461736813,1.1,1.37,2.1
1461736818,1.11,1.38,2.09
1461736823,1.11,1.38,2.01
1461736828,1.11,1.39,2.01
1461736833,1.12,1.4,2.01
1461736838,1.12,1.39,1.93
1461736843,1.12,1.38,1.85
1461736848,1.11,1.36,1.7
1461736853,1.11,1.34,1.57
1461736858,1.1,1.32,1.44
1461736863,1.1,1.31,1.41
1461736868,1.1,1.32,1.45
1461736873,1.1,1.3,1.34
1461736878,1.1,1.31,1.39
1461736883,1.11,1.32,1.44
1461736888,1.11,1.32,1.4
1461736893,1.11,1.31,1.37
1461736898,1.11,1.32,1.42
1461736903,1.11,1.32,1.39
1461736908,1.17,1.5,2.24
1461736913,1.17,1.5,2.22
1461736918,1.18,1.51,2.2
1461736923,1.17,1.49,2.02
1461736928,1.17,1.46,1.86
1461736933,1.16,1.44,1.71
1461736938,1.15,1.41,1.58
1461736943,1.15,1.39,1.45
1461736948,1.14,1.37,1.33
1461736953,1.14,1.36,1.31
1461736958,1.14,1.37,1.36
1461736963,1.15,1.4,1.49
1461736968,1.18,1.48,1.85
1461736973,1.2,1.52,2.03
1461736978,1.2,1.54,2.1
1461736983,1.21,1.55,2.1
1461736988,1.21,1.54,2.01
1461736993,1.21,1.55,2.01
1461736998,1.21,1.52,1.85
1461737003,1.2,1.5,1.7
1461737008,1.19,1.47,1.56
1461737013,1.19,1.45,1.44
1461737018,1.18,1.42,1.32
1461737023,1.17,1.4,1.22
1461737028,1.17,1.38,1.12
1461737033,1.16,1.35,1.03
1461737038,1.17,1.38,1.19
1461737043,1.19,1.42,1.41
1461737048,1.18,1.4,1.3
1461737053,1.18,1.41,1.36
1461737058,1.19,1.44,1.49
1461737063,1.19,1.43,1.45
1461737068,1.19,1.42,1.41
1461737073,1.2,1.43,1.46
1461737078,1.2,1.44,1.5
1461737083,1.26,1.62,2.34
1461737088,1.26,1.61,2.24
1461737093,1.25,1.58,2.06
1461737098,1.24,1.55,1.89
1461737103,1.24,1.53,1.74
1461737108,1.23,1.5,1.6
1461737113,1.22,1.48,1.47
1461737118,1.22,1.45,1.35
1461737123,1.22,1.46,1.41
1461737128,1.24,1.5,1.61
1461737133,1.23,1.48,1.48
1461737138,1.23,1.47,1.45
1461737143,1.24,1.5,1.57
1461737148,1.26,1.57,1.92
1461737153,1.28,1.63,2.17
1461737158,1.31,1.7,2.48
1461737163,1.31,1.69,2.36
1461737168,1.3,1.66,2.17
1461737173,1.29,1.63,2
1461737178,1.29,1.61,1.84
1461737183,1.28,1.58,1.69
1461737188,1.27,1.55,1.55
1461737193,1.27,1.53,1.43
1461737198,1.26,1.5,1.32
1461737203,1.25,1.48,1.21
1461737208,1.25,1.45,1.11
1461737213,1.25,1.46,1.18
1461737218,1.24,1.44,1.09
1461737223,1.25,1.45,1.16
1461737228,1.25,1.46,1.23
1461737233,1.25,1.45,1.21
1461737238,1.25,1.44,1.19
1461737243,1.25,1.43,1.18
1461737248,1.25,1.43,1.16
1461737253,1.24,1.42,1.15
1461737258,1.25,1.43,1.22
1461737263,1.24,1.41,1.12
1461737268,1.23,1.38,1.03
1461737273,1.23,1.36,0.95
1461737278,1.22,1.34,0.87
1461737283,1.21,1.31,0.8
1461737288,1.21,1.29,0.74
1461737293,1.2,1.27,0.68
