Timestamp,Cached (B),Free (B),Shared (B),Swap (B)
1461736500,0,0,0,0
1461736502,1690546176,1712906240,0,6341812224
1461736507,1690550272,1712906240,0,6341812224
1461736512,1828646912,1575231488,0,6341812224
1461736517,2077192192,1023008768,0,6341812224
1461736522,2077212672,1015455744,0,6341812224
1461736527,2104455168,734711808,0,6341812224
1461736532,2175778816,643854336,0,6341812224
1461736537,2247503872,569597952,0,6341812224
1461736542,2320453632,486998016,0,6341812224
1461736547,2382159872,416276480,0,6341812224
1461736553,2454888448,335978496,0,6341812224
1461736558,2499162112,290426880,0,6341812224
1461736563,2552975360,232501248,0,6341812224
1461736568,2601648128,179679232,0,6341812224
1461736573,2618142720,769998848,0,6341812224
1461736578,2618142720,770080768,0,6341812224
1461736583,2618142720,770031616,0,6341812224
1461736588,2618159104,770191360,0,6341812224
1461736593,2866094080,492580864,0,6341812224
1461736598,2884083712,363569152,0,6341812224
1461736603,2884296704,56311808,0,6341812224
1461736608,2669195264,121237504,0,6341812224
1461736613,2617479168,84975616,0,6341812224
1461736618,2484850688,77504512,0,6341812224
1461736623,2489069568,47767552,0,6341812224
1461736628,2496282624,44609536,0,6341812224
1461736633,2472955904,43958272,0,6341812224
1461736638,2475663360,42045440,0,6341812224
1461736643,2481283072,41512960,0,6341812224
1461736648,2475708416,47362048,0,6341812224
1461736653,2479513600,43618304,0,6341812224
1461736658,2480553984,44466176,0,6341812224
1461736663,2457104384,929062912,0,6341812224
1461736668,2457104384,929157120,0,6341812224
1461736673,2457104384,929157120,0,6341812224
1461736678,2457104384,929189888,0,6341812224
1461736683,2457104384,929304576,0,6341812224
1461736688,2465734656,921784320,0,6341812224
1461736693,2796797952,454623232,0,6341812224
1461736698,2796933120,205357056,0,6341812224
1461736703,2753769472,52924416,0,6341812224
1461736708,2572759040,48005120,0,6341812224
1461736713,2494214144,43806720,0,6341812224
1461736718,2482196480,45608960,0,6341812224
1461736723,2469933056,47640576,0,6341812224
1461736728,2475094016,42004480,0,6341812224
1461736733,2481360896,45199360,0,6341812224
1461736738,2479140864,46559232,0,6341812224
1461736743,2475905024,48812032,0,6341812224
1461736748,2479751168,900067328,0,6341812224
1461736753,2456514560,923570176,0,6341812224
1461736758,2456514560,923811840,0,6341812224
1461736763,2456514560,923602944,0,6341812224
1461736768,2456514560,923873280,0,6341812224
1461736773,2523750400,858390528,0,6341812224
1461736778,2731716608,505532416,0,6341812224
1461736783,2731888640,239906816,0,6341812224
1461736788,2684489728,141307904,0,6341812224
1461736793,2628259840,75517952,0,6341812224
1461736798,2476756992,114814976,0,6341812224
1461736803,2500386816,39694336,0,6341812224
1461736808,2479702016,42565632,0,6341812224
1461736813,2482360320,39100416,0,6341812224
1461736818,2482233344,48123904,0,6341812224
1461736823,2488745984,42086400,0,6341812224
1461736828,2489966592,40726528,0,6341812224
1461736833,2486386688,44183552,0,6341812224
