Record Counts,Shell Execution time
1048576,82333
2097152,94596
3145728,86832
4194304,86574
5242880,87843
6291456,83769
7340032,87876
8388608,81692
9437184,88727
10485760,85419
11534336,83048
12582912,91028
13631488,86887
14680064,85349
15728640,83211
16777216,106192
17825792,81677
18874368,92329
19922944,88620
20971520,83132
22020096,84319
23068672,94823
24117248,82612
25165824,98086
26214400,88816
27262976,90394
28311552,83149
29360128,99553
30408704,89225
31457280,94936
32505856,88558
33554432,88973
34603008,95471
35651584,91899
36700160,90519
37748736,90478
38797312,96234
39845888,90511
40894464,88986
41943040,94051
42991616,98270
44040192,112701
45088768,109229
46137344,90965
47185920,97816
48234496,90162
49283072,99667
50331648,97292
51380224,96353
52428800,102384
53477376,83440
54525952,96328
55574528,95777
56623104,92415
57671680,109194
58720256,95448
59768832,90411
60817408,88564
61865984,98474
62914560,95970
63963136,91338
65011712,86661
66060288,87730
67108864,98173
