Timestamp,GC total count,GC count of type major collection
1461830400,,
1461830460,,
1461830520,,
1461830533,0,0
1461830893,0,0
1461831133,0,0
1461831494,0.16666666666666666,0
1461831793,0,0
1461831974,0,0
1461832273,0.2,0
1461832693,0,0
1461832933,0,0
1461833233,0.2,0
1461833534,0,0
1461833834,0,0
1461834193,0.16666666666666666,0
1461834433,0,0
1461834794,0,0
1461835034,0.25,0
1461835393,0,0
1461835573,0,0
1461835873,0.2,0
1461836174,0,0
1461837313,0,0
1461837613,0.2,0
1461837913,0,0
1461838213,0,0
1461838454,0.25,0
1461838813,0,0
1461839053,0,0
1461839113,,
1461839173,,
1461839233,,
1461839293,,
1461839353,,
