Timestamp,Cached (B),Free (B),Shared (B),Swap (B)
1461830400,0,0,0,0
1461830460,0,0,0,0
1461830520,0,0,0,0
1461830579,925263654.1276596,746640667.2340425,0,7511757671.489362
1461830891,1418566997.3333333,718870186.6666666,0,6734686071.466666
1461831191,1818692403.2,621411874.1333333,0,6658783846.4
1461831516,1724549466.5846155,247008523.81538463,0,6692818628.923077
1461831817,1701562914.1333334,518605687.46666664,0,6451311206.4
1461832117,1607346312.5333333,426021888,0,6343148270.933333
1461832418,1720189610.6666667,643754120.5333333,0,6188781636.266666
1461832724,1780445586.8852458,731540563.9344262,0,6223967953.836065
1461833033,1938036524.137931,343154546.7586207,0,6358864931.310345
1461833341,1708782030.451613,539779930.8387097,0,6187485910.709678
1461833642,1537907712,512845960.53333336,0,6329129847.466666
1461833885,1254682707.5918367,888371074.6122448,0,6117616660.897959
1461834186,1761836441.6,667588198.4,0,5973084228.266666
1461834486,1621291076.2666667,585697553.0666667,0,5930078822.4
1461834787,1703855513.6,513173435.73333335,0,5866384725.333333
1461835088,1608933034.6666667,721125580.8,0,5779276731.733334
1461835389,1740960426.6666667,480294092.8,0,5803220309.333333
1461835697,1779022947.096774,727732818.5806452,0,5769157665.032258
1461836000,1752113689.180328,551225243.2786885,0,5770558077.901639
1461836308,1874625116.327869,526924145.3114754,0,5780292121.180327
1461837329,1852526110.1176472,604379577.7254902,0,6447450232.470589
1461837630,1937467938.1333334,488008089.6,0,6400820019.2
1461837930,1811551982.9333334,632839236.2666667,0,6365610666.666667
1461838230,1938343731.2,567925009.0666667,0,6345727317.333333
1461838531,1914239658.6666667,532223385.6,0,6346994892.8
1461838832,1832922316.8,601283993.6,0,6306735991.466666
1461839133,1808589270.0327868,562655634.8852459,0,6272906961.836065
1461839193,0,0,0,0
1461839253,0,0,0,0
1461839313,0,0,0,0
1461839373,0,0,0,0
