Timestamp,Cached (B),Free (B),Shared (B),Swap (B)
1461830400,0,0,0,0
1461830460,0,0,0,0
1461830520,0,0,0,0
1461830580,0,0,0,0
1461830640,0,0,0,0
1461830641,2128038638.9333334,760475511.4666667,0,6327650577.066667
1461830885,2386775646.0408163,515949463.5102041,0,6324494336
1461831186,2376001877.3333335,618073429.3333334,0,6324494336
1461831516,2211274503.757576,528676801.93939394,0,6324492784.484848
1461831816,2257322052.266667,661080814.9333333,0,6324490240
1461832116,2215616921.6,631291630.9333333,0,6324210073.6
1461832416,2271217254.4,712241902.9333333,0,6324180445.866667
1461832724,2079253487.2131147,807739324.8524591,0,6324183040
1461833029,2007810853.7704918,845581261.6393442,0,6324161955.672132
1461833341,2094237598.4761906,818652436.3174603,0,6322633906.793651
1461833641,2048016861.8666666,700822118.4,0,6321638877.866667
1461833942,2191921356.8,839819195.7333333,0,6320304128
1461834183,2159174229.3333335,845654528,0,6320077141.333333
1461834483,1954259285.3333333,840520089.6,0,6319060309.333333
1461834783,2039505646.9333334,867179861.3333334,0,6318108672
1461835084,2113260748.8,808388130.1333333,0,6317362380.8
1461835384,2004042547.2,739686877.8666667,0,6316643054.933333
1461835684,2036448324.2666667,883442824.5333333,0,6315001924.266666
1461835984,2030890257.0666666,738148761.6,0,6312480494.933333
1461836289,2115610993.3114755,889415109.2459016,0,6310608896
1461837330,2039581434.9803922,771226925.1764706,0,6310424335.058824
1461837632,1984200908.8,924917145.6,0,6309478400
1461837932,2000316279.4666667,834718993.0666667,0,6309478400
1461838232,1953411276.8,792423765.3333334,0,6309478400
1461838532,2021243357.8666666,786801800.5333333,0,6309478400
1461838833,2161576277.3333335,753872964.2666667,0,6309478400
1461839133,1973942476.8,791682730.6666666,0,6309478400
1461839193,0,0,0,0
1461839253,0,0,0,0
1461839313,0,0,0,0
1461839373,0,0,0,0
